JDMOVE%,DJHIGH,DJLOW,DJTREND,VIXMOVE%,VIXHIGH,VIXLOW,VIXTREND,SUPERTREND,RESULT,LABEL
-0.947055843,-1.121367117,0.07503078,-1,4.920810023,0,5.60732839,1,-1,-0.225772444,0
-0.225772444,-0.70278321,0.451937791,-1,-0.063701428,-3.780936576,1.333637296,-1,1,0.824911639,1
0.824911639,-0.051622907,0.951552145,1,-2.079562522,-2.267748011,0.593424853,-1,-1,1.190363643,1
1.190363643,-0.149936725,1.857030593,1,-4.69633899,-5.003900986,0.559351303,-1,-1,-0.940795986,-1
-0.940795986,-1.566911304,0.856256386,-1,10.53785495,-2.437578027,11.17473415,1,-1,0.187315364,0
0.187315364,-0.26610337,0.828754464,1,-0.824788951,-2.746764781,3.622845556,1,1,-0.639755302,-1
-0.639755302,-0.676054464,1.23664051,1,-5.722306197,-8.13118105,0.443684885,-1,-1,0.651926134,1
0.651926134,-0.197927223,1.965194201,1,-8.190915589,-10.62719423,0.212788595,-1,-1,-1.768947416,-1
-1.768947416,-2.084695491,0.231919792,-1,1.796331834,-0.67225343,4.752347038,1,-1,1.136585653,1
1.136585653,-0.41341572,1.401163028,1,-1.864786927,-2.483443709,1.42393536,-1,-1,0.359522882,0
0.359522882,-0.171153136,1.368879143,1,-6.929343519,-7.358091692,0.355470486,-1,-1,0.824373463,1
0.824373463,-0.339810146,1.238704489,1,-3.166844515,-3.356465576,0.874959659,-1,-1,-0.380584668,0
-0.380584668,-0.644324186,0.60639004,-1,-2.399890291,-2.643548442,2.709528448,1,-1,-0.304545192,0
-0.304545192,-0.783754461,0.548950667,-1,-1.701953843,-2.989787691,1.801388938,-1,1,0.573250314,1
0.573250314,-0.077997789,0.633480679,1,-1.739969274,-1.768046576,0.456587647,-1,-1,-0.353801354,0
-0.353801354,-0.52304546,0.116162933,-1,-1.232861767,-1.839736871,0.895344949,-1,1,-1.202833923,-1
-1.202833923,-1.214336732,0.536193686,-1,2.39946286,-1.699572563,2.475510132,1,-1,0.519859366,1
0.519859366,-0.164448291,0.6482035,1,0.831645165,-1.410848942,1.837826196,1,1,-1.080221987,-1
-1.080221987,-1.36370694,0.095889501,-1,3.679784252,-0.068404132,5.339438295,1,-1,-0.968362655,-1
